City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Lebu,CL,-37.6167,-73.65,10.09,67,100,6.42,1722099511
1,Taoudenni,ML,22.6783,-3.9836,45.73,7,3,2.13,1722099696
2,Albany,US,42.6001,-73.9662,28.3,51,0,0.45,1722099696
3,Port-aux-Français,TF,-49.35,70.2167,0.68,67,99,14.93,1722099696
4,Chicoana,AR,-25.1009,-65.5331,22.25,43,0,2.61,1722099696
5,Adamstown,PN,-25.066,-130.1015,20.84,80,77,7.08,1722099696
6,Isafjordur,IS,66.0755,-23.124,9.02,100,100,3.09,1722099696
7,Fallon,US,39.4735,-118.7774,25.62,21,0,2.68,1722099697
8,Margaret River,AU,-33.95,115.0667,15.5,82,100,10.18,1722099697
9,Aoulef,DZ,26.9667,1.0833,42.88,5,0,9.26,1722099697
10,Iskateley,RU,67.6803,53.1512,9.85,78,96,5.24,1722099575
11,Tazovsky,RU,67.4667,78.7,12.6,78,53,2.94,1722099697
12,Geraldton,AU,-28.7667,114.6,11.23,93,0,6.17,1722099697
13,Uturoa,PF,-16.7333,-151.4333,26.25,82,73,6.91,1722099511
14,Stanley,GB,54.868,-1.6985,18.07,76,20,3.6,1722099697
15,Waitangi,NZ,-43.9535,-176.5597,11.01,85,11,0.89,1722099697
16,Kolonia Town,FM,6.964,158.206,26.48,82,100,2.85,1722099698
17,Grytviken,GS,-54.2811,-36.5092,0.92,89,94,5.94,1722099620
18,Blackmans Bay,AU,-43.0167,147.3167,2.07,86,16,3.27,1722099698
19,Whitehorse,CA,60.7161,-135.0538,12.43,76,75,0.0,1722099698
20,Malango,ID,-2.9627,119.9001,19.78,100,88,0.33,1722099698
21,Poronaysk,RU,49.2167,143.1167,15.16,88,100,0.87,1722099544
22,Lompoc,US,34.6391,-120.4579,15.08,88,100,5.66,1722099535
23,Alakurtti,RU,66.9672,30.3491,20.19,58,93,1.46,1722099698
24,Polyarny,RU,69.1989,33.4478,22.24,53,10,5.22,1722099493
25,Kruisfontein,ZA,-34.0033,24.7314,17.16,61,1,1.83,1722099576
26,São João da Barra,BR,-21.6403,-41.0511,32.05,57,31,5.0,1722099579
27,Ribeira Grande,PT,38.5167,-28.7,26.22,73,20,2.57,1722099575
28,Howrah,IN,22.5892,88.3103,29.0,89,75,1.54,1722099086
29,Sisimiut,GL,66.9395,-53.6735,6.15,75,66,4.86,1722099699
30,Huoqiu Chengguanzhen,CN,32.3547,116.2939,26.9,80,100,6.0,1722099699
31,Roboré,BO,-18.3333,-59.75,36.12,19,0,3.05,1722099699
